Page Number,Title,Description
31, Laser Engraving 3D Objects,"Ever wanted to laser engrave an apple? Well now you can! You will walk away with a laser cut apple. Fun to look at, not to eat. "
31, Intro to VR,"






One might believe Virtual Reality (VR) was invented recently by Facebook, but the truth is we can trace it all the way back to 1838! In this workshop we will go over some history, terms, and hardware common in the field of VR. Then we will learn how to use the Co-Lab's headsets, and directly experience some popular VR apps ourselves!















"
31, Eastern Embroidery/Sashiko,"Intro to Sashiko Stitching:  Use running stitches to create accents and all over design to embellish your clothing and textile projects.Sashiko (刺し子, meaning """"little pokes"""" or """"small piercing"""") is a form of functional embroidery that originated in Japan."
32, Jellyfish - Ocean Filibuster,In celebration of ocean wild life students will make jellyfish out of single use plastics mostly scavenged from the ocean itself.
32, Day of the Dead Series: Traditions and Techniques,"This class introduces the student to the tradition of Dia de Muertos.  Spanning over 3500 years, the class illuminates the major shifts in the development of this tradition and how it came to be what it is today. Class will address how to construct an ofrenda, and teach the student how to produce paper cempaxochitl (marigolds) and papel picado ( cut paper)."
32, SoulFull Somatics,"""SoulFULL SomaticsMind over matter, right? Wrong! Our society has conditioned us to see the mind as more of a dictator over the body. But, the body can restructure and restore the mind. It is by the “doing” that we experience deep transformation. 
In this session we approach mindfulness from a body-centered perspective. Sade offers her expert knowledge in somatics supported by elements of dance, yoga, and psychology to explore our body’s own intelligence. The process brings to light new ways to view self, others, and situations. All coming from a soulful backdrop of carefully curated music. 
Her Movement Signature Technique teaches us how the body holds your essence, how it is dynamic, and how you can recalibrate it. Leave with foundational somatic practices + easy to apply info. 
More than a workshop -- it is an experience!"""
32, POETRY IN MUSIC,"Presented in Partnership with DukeCreate & DuWellInstructor: VaChikepe: The Poet  In this workshop, students will be introduced to Leonard Dembo through his song, “Munovenga Mudzimai Wangu”, which translates to “You Don't Like My Wife”. According to The Herald, documenting the growth of music in Zimbabwe without mentioning Leonard Dembo would be incomplete. Dembo, who passed away on April 9, 1996, at the age of 37, was one of the greatest musicians to emerge from the country. His music addressed societal issues, including love, unity, and peace. Dembo is arguably the best musician to grace the Zimbabwean music scene. Listening to the depth of the above-mentioned song, I asked myself a question, “Was Leonard Dembo a poet?” Students will have the opportunity to listen to Dembo's song and extract abstract thoughts from it. They will also be provided with a translated version of the song and encouraged to create their own inspired written pieces. Students will then share their creations, and our guest poet will provide an interpretation of the song. This process aims to inspire students to discover poetry within music and all aspects of life, as a means to tap into the profound love that resides within us."
32, Ballet for all Bodies,"Ballet Barre For All Bodies re-imagines the dance class as a radically inclusive and supportive environment for a diverse range of movers. In the workshop, we will center the joy of dancing as we explore the traditional principles of ballet technique in a fun and affirming environment. Participants will have the opportunity to stretch, bend, balance, twirl, and soar while discovering the inner and outer strength and grace that ballet cultivates.
A variety of modifications will be offered to adapt class combinations for a wide range of abilities. Movers of all levels, backgrounds, and identities are welcome and encouraged to join. Participants should wear comfortable clothes, bare feet, socks or flat dance shoes.
DISCLAIMER: This program involves physical exertion and movement through and across space, so before beginning ensure you have adequate clear, safe space free of obstacles to move and are wearing appropriate footwear for the floor surface. If more than one person will be participating, ensure adequate space to avoid contact with other participants. It is your responsibility to use personal judgment concerning the degree of your participation in the activities, and to determine that you are in proper physical condition to participate in such activities."
33, Duke Tech Week Scavenger Hunt,"Are you participating in the Duke Tech Week Scavenger Hunt?
Then you've come to the right place.
Your tasks:

Enroll for this module
Go to A-12 and take a photo of what's inside

Good luck!"
33, Day of the Dead Series: BrickCity Urban Skulls,In this workshop we will make skulls that are more cultural to growing up in an urban setting where 3-5 apartment buildings and projects made of bricks is the atmosphere of learning how to navigate and grow in a community that is moving in a fast pace.
33, Mandala,"Mandalas are known to be very therapeutic in nature. The process of making a mandala is considered to be art meditation and has very calming effects. Join us for a session to unwind and relax with this therapeutic artform. You will be making ornate designs with intricate patterns that will come to life with vibrant colors. For any queries/questions about the artform, feel free to email Anvita at anvita.kulshrestha@duke.edu."
33, Performer Wellness: Muscle Release Exercises and Massage Techniques,"Looking for some calm in the storm? An hour away to take care of yourself? Join Courtney Liu (Duke alum, professional dancer, yoga instructor) for an hour of muscle release, massage techniques, and relaxation. By releasing the tension we carry in our bodies, we support our vitality, improve our mental/physical performance, and cultivate an inner senåse of peace and contentment. Techniques will focus on the feet, calves, hamstrings, hips, hip flexors, shoulders, neck, and more. Treat yourself to an evening of compassion and care for your body. You'll leave feeling refreshed and ready to take on the world again."
33, Collage Zines - DuWell Series,"Zines are self-published print materials made in small batches, usually assembled by hand and reproduced with a copier. They are an easy, affordable way to express ideas and share creative work with your community and the world at large. In this series, we will be focused on creating collage-style zines with a theme of ""mindfulness."" Each participant will choose a mindfulness-related term (reflection, intention, meditation, etc.) and build a zine focused on these ideas of self-betterment."
34, Laser Cutting Stamps,"Have you ever wanted to personalize your correspondence, brand your backyard chicken's eggs, or create a custom fabric pattern? If so, have I got the class for you!
In this workshop, we will be learning how to use Illustrator, the laser cutter, and 3D printers to create a stamp that is all your own. Afterward, you'll be able to make all of your stamp dreams come true. "
34, Embroidery on Photographs,"In this workshop, we’ll practice using embroidery on paper to highlight the natural beauty of vintage photographs and create a new piece of art. You’ll learn the basics of embroidery and how to use the practice on materials other than fabric. We’ll have materials you can work with, or you can bring your own photos!"
34, Potato Printing,"Learn the fun and easy art of potato printing! Using the humble potato (yes, you read that right :)) you will design and carve your own stamps. Each student will be able to make a canvas tote, as well as print on paper to use as cards, wrapping paper, wall art, or whatever you desire."
34, Machine Sewing/Pants,Intro to Sewing on a Machine- With a focus on Clothing Mending.  Bring a textile item that needs repair or gentle alterations like hemming and learn the basics of machine sewing.  Students will share machines and take turns mending items they bring from home.
34, Wheel throwing - intermediate ,"""In this course, students who have mastered the basics of wheel throwing will have the opportunity to deepen and enhance their technical and creative skills through focused and hands-on instruction. Students will practice throwing consistent 6+ inch tall cylinders, focusing on making even thickness walls and gaining more height with less clay. 
Students will also be taught advanced chipping techniques, learning to improve curves and creating multi curved and surfaced pots. In addition students will learn how to collar in the necks of vessels, opening up the ability to create bottle, vase, and closed form shapes. """
35, Encaustic,"""Learn how to create vibrant collage artwork using melted beeswax  as your glue! In this class participants will learn the basics of Encaustic art and then create their own unique encaustic collage on wood."""
35, Intro to CAD with Fusion 360,"Join us as we dive into the fundamentals of CAD modelling with Fusion 360. In this course, you'll learn the basics of sketching, parametric modeling, assembly design, and much more. We'll also guide you through the process of converting your creations into 3D-printable files, letting you turn your imagination into tangible objects. Whether you're a hobbyist, aspiring engineer, or just eager to learn about 3D design, this is a great introduction to the software and its capabilities."
35, Oh Snap! A 90s Music Video Experience,"Summer vacation for a Brooklyn kid in the 90s mostly meant not being in school activities so we had to make our own fun. That meant calling into BET, MTV, VH1 or Video Music Box (for the non cable folx) to request our favorite videos and recording over our parents' VHS tapes. We'd spend hours learning the moves and then perform them at block parties in matching outfits. Fast forward to now. Music videos no longer tell stories and I have a rolodex of 90s dance moves + trivia. But there's a growing body of research supporting the healing effects of nostalgia. So get out your choker necklaces, crop tops, Tims and windbreakers! Come bask in nostalgia with some authentic dance moves of the 90's and all things ""throwback""! I'll guide you through a body inclusive warm up, trivia and some music video themed fun! "
35, What Can ChatGPT Teach You About Languages?,"Can ChatGPT teach you a foreign language? Or help you to understand a metaphor in a poem? In this lecture, you will learn some of the strengths and limitations of ChatGPT in handling difficult or unusual language. We will see how poetic and metaphorical language presents difficulties for language models, even the most powerful ones."
